Dataset,F1_measure,Accuracy
HDFS,0.999984,0.997500
Hadoop,0.999356,0.958000
Spark,0.514910,0.418000
Zookeeper,0.998413,0.839000
BGL,0.999278,0.947000
HPC,0.977994,0.823500
Thunderbird,0.998621,0.650500
Windows,0.913411,0.711000
Linux,0.730369,0.345000
Android,0.881090,0.631000
HealthApp,0.782052,0.318000
Apache,1.000000,1.000000
Proxifier,0.742606,0.000000
OpenSSH,0.997593,0.541500
OpenStack,0.726806,0.213000
Mac,0.931390,0.650500
