Dataset,F1_measure,Accuracy
HDFS,0.992631,0.866000
Hadoop,0.998099,0.903500
Spark,0.922398,0.618000
Zookeeper,0.837771,0.447500
BGL,0.965468,0.295500
HPC,0.519503,0.062000
Thunderbird,0.998382,0.628000
Windows,0.989001,0.400000
Linux,0.509702,0.128000
Android,0.902730,0.565500
HealthApp,0.870040,0.493000
Apache,1.000000,1.000000
Proxifier,0.785145,0.025500
OpenSSH,0.996945,0.428500
OpenStack,0.904618,0.238000
Mac,0.935436,0.615000
