Dataset,F1_measure,Accuracy
HDFS,1.000000,1.000000
Hadoop,0.867406,0.669500
Spark,0.226183,0.002000
Zookeeper,0.994407,0.854500
BGL,0.942901,0.645500
HPC,0.993032,0.845500
Thunderbird,0.982164,0.812500
Windows,0.999904,0.989500
Linux,0.875032,0.501500
Android,0.982673,0.837000
HealthApp,0.295162,0.179000
Apache,1.000000,1.000000
Proxifier,0.813394,0.495000
OpenSSH,0.936396,0.424000
OpenStack,0.935767,0.787000
Mac,0.348802,0.368500
