Dataset,F1_measure,Accuracy
HDFS,0.999984,0.997500
Hadoop,0.997166,0.929500
Spark,0.926369,0.810000
Zookeeper,0.999777,0.988500
BGL,0.998928,0.936500
HPC,0.997707,0.945000
Thunderbird,0.998728,0.676500
Windows,0.989699,0.718000
Linux,0.785499,0.306000
Android,0.983826,0.841000
HealthApp,1.000000,1.000000
Apache,1.000000,1.000000
Proxifier,0.786397,0.516500
OpenSSH,0.999996,0.998500
OpenStack,0.753372,0.470500
Mac,0.981556,0.825500
