Dataset,F1_measure,Accuracy
HDFS,0.999982,0.997500
Hadoop,0.998171,0.952500
Spark,0.991026,0.907000
Zookeeper,0.999476,0.966500
BGL,0.999625,0.971000
HPC,0.994408,0.945000
Thunderbird,0.999209,0.949000
Windows,0.994619,0.571000
Linux,0.641449,0.238000
Android,0.998130,0.905000
HealthApp,0.993434,0.902500
Apache,1.000000,1.000000
Proxifier,0.734631,0.000000
OpenSSH,0.999221,0.787500
OpenStack,0.992145,0.732500
Mac,0.969673,0.737500
