Dataset,F1_measure,Accuracy
HDFS,0.999984,0.997500
Hadoop,0.998311,0.961500
Spark,0.920159,0.735500
Zookeeper,0.999880,0.994500
BGL,0.999833,0.963500
HPC,0.985921,0.919500
Thunderbird,0.999359,0.681000
Windows,0.989690,0.721000
Linux,0.628651,0.364500
Android,0.993232,0.912500
HealthApp,0.993434,0.902500
Apache,1.000000,1.000000
Proxifier,0.888929,0.014000
OpenSSH,1.000000,1.000000
OpenStack,0.791878,0.256000
Mac,0.986140,0.841500
