Dataset,F1_measure,Accuracy
HDFS,0.999984,0.997500
Hadoop,0.996871,0.894000
Spark,0.512517,0.380500
Zookeeper,0.954503,0.839000
BGL,0.999289,0.948000
HPC,0.711378,0.370500
Thunderbird,0.998609,0.647500
Windows,0.913148,0.709500
Linux,0.730892,0.285000
Android,0.888149,0.669500
HealthApp,0.842409,0.457000
Apache,1.000000,1.000000
Proxifier,0.742606,0.000000
OpenSSH,0.997593,0.541500
OpenStack,0.726799,0.213000
Mac,0.934691,0.635000
